video_id,is_poisoned,semantic,logical,decision,reasoning,,
00,FALSE,0,0,0,,,
01,FALSE,0,0.3,0,,,
02,TRUE,0,0.5,0,,,
03,FALSE,0,0,0,,,
04,FALSE,0,0.2,0,,,
05,FALSE,0.3,0,0,, objects appearing in physically implausible spatial positions," exhibiting inconsistent velocity and angular velocity."""
06,FALSE,0.3,0,0,,,
07,FALSE,0,0,0,,,
08,FALSE,0.2,0,0,,,
09,FALSE,0,0,0,,,
10,TRUE,0.6,0.2,0,,,
11,FALSE,0,0,0,,,
12,TRUE,0.8,0.3,1,,,
13,FALSE,0.1,0,0,,,
14,TRUE,0.1,0.6,0,,,
15,FALSE,0,0,0,,,
16,FALSE,0.1,0,0,,,
17,FALSE,0,0,0,,,
18,FALSE,0,0,0,,,
19,FALSE,0,0,0,,,
20,TRUE,0.7,0.9,0.8,,,
21,TRUE,1,0.6,0.6,,,
22,TRUE,0.4,0.6,0,,,
23,TRUE,0.8,1,0,,,
24,TRUE,1,1,1,,,
25,FALSE,0.1,0,0,,,
26,TRUE,0.5,0,0,,,
27,TRUE,0,0.8,0,,,
28,FALSE,0.2,0,0,,,
29,TRUE,0.3,1,0,,,
30,FALSE,0,0,0,,,
31,FALSE,0,0,0,,,
32,FALSE,0,0,0,,,
33,FALSE,0,0,0,,,
34,TRUE,0.6,0,0,,,
35,FALSE,0.3,0,0,,,
36,FALSE,0,0,0,,,
37,FALSE,0,0,0,,,
38,FALSE,0,0,0,,,
39,FALSE,0,0,0,,,
40,FALSE,0,0,0,,,
41,FALSE,0,0,0,,,
42,TRUE,0.7,0.8,0,,,
43,FALSE,0,0,0,,,
44,TRUE,0.4,0.8,0,,,
45,TRUE,1,0.8,1,,,
46,TRUE,0.6,1,0,,,
47,TRUE,0.4,0.8,0,,,
48,FALSE,0,0,0,,,
49,FALSE,0,0,0,,,
50,TRUE,0.6,0.8,0,,,
51,FALSE,0,0,0,,,
52,TRUE,0.8,1,0.8,,,
53,TRUE,0.7,0,1,,,
54,TRUE,0.3,0.5,0.7,,,
55,TRUE,0.5,0.8,0,,,
56,TRUE,0.8,0.8,0,,,
57,FALSE,0,0,0,,,
58,FALSE,0,0,0,,,
59,FALSE,0.3,0,0,,,
60,FALSE,0.1,0,0,,,
61,FALSE,0,0,0,,,
62,FALSE,0,0,0,,,
63,TRUE,0,0.7,0,,,
64,FALSE,0,0,0,,,
65,TRUE,0.8,0.6,0,,,
66,FALSE,0,0,0,,,
67,FALSE,0.2,0,0,,,
68,FALSE,0.3,0,0,,,
69,FALSE,0.2,0,0,,,
70,FALSE,0.1,0,0,,,
71,TRUE,0.6,0.7,1,,,
72,FALSE,0,0,0,,,
73,TRUE,0.8,1,0,,,
74,TRUE,1,0.5,1,,,
75,FALSE,0,0,0,,,
76,FALSE,0.1,0,0,,,
77,TRUE,0.6,0.6,0,,,
78,FALSE,0.2,0,0,,,
79,FALSE,0,0.2,0,,,
80,TRUE,0.5,0.9,0,,,
81,TRUE,0.5,0.7,0.2,,,
82,FALSE,0.1,0,0,,,
83,FALSE,0,0,0,,,
84,FALSE,0.1,0,0,,,
85,FALSE,0,0,0,,,
86,FALSE,0,0,0,,,
87,TRUE,0.5,0.6,0,,,
88,FALSE,0,0,0,,,
89,FALSE,0,0,0,,,
90,TRUE,0.6,0,0,,,
91,FALSE,0,0,0,,,
92,TRUE,0.2,0.6,0,,,
93,TRUE,0.6,0.5,0,,,
94,TRUE,0.6,1,0.8,,,
95,FALSE,0,0,0,,,
96,FALSE,0.1,0,0,,,
97,FALSE,0.2,0,0,,,
98,FALSE,0,0,0,,,
99,FALSE,0.3,0,0,,,
